
327803.54505, 3,   1.311,  9.497,  3.686, 4,   0.113, -0.010, -0.347, 5,  -5.300,  3.000, 19.200 ,  0.01001999998698011
  
327803.55506, 3,   1.463,  9.524,  3.546, 4,   0.072, -0.050, -0.361, 5,  -5.200,  3.000, 19.200 ,  0.010009999969042838
  
327803.56505, 3,   1.652,  9.564,  3.405, 4,   0.050, -0.128, -0.361, 5,  -5.200,  3.000, 19.200 ,  0.009989999991375953
  
327803.57502, 3,   1.851,  9.634,  3.278, 4,   0.076, -0.236, -0.351, 5,  -5.200,  3.000, 19.200 ,  0.009970000013709068
  
327803.58503, 3,   2.021,  9.761,  3.193, 4,   0.139, -0.369, -0.335, 5,  -5.200,  3.000, 19.200 ,  0.010010000027250499
  
327803.59501, 3,   2.143,  9.932,  3.286, 4,   0.228, -0.512, -0.332, 5,  -5.200,  3.100, 19.100 ,  0.00997999997343868
  
327803.60500, 3,   2.189, 10.072,  3.420, 4,   0.310, -0.603, -0.349, 5,  -5.200,  3.100, 19.100 ,  0.009989999991375953
  
327803.61501, 3,   2.097, 10.180,  3.536, 4,   0.358, -0.620, -0.399, 5,  -5.100,  3.100, 19.100 ,  0.010010000027250499
  
327803.62500, 3,   2.049, 10.104,  3.449, 4,   0.332, -0.577, -0.500, 5,  -5.100,  3.100, 19.100 ,  0.009989999991375953
  
327803.63500, 3,   1.948,  9.963,  3.148, 4,   0.230, -0.506, -0.619, 5,  -5.000,  3.100, 19.200 ,  0.010000000009313226
  
327803.64501, 3,   1.744,  9.898,  2.707, 4,   0.085, -0.439, -0.717, 5,  -5.000,  3.100, 19.200 ,  0.010009999969042838
  
327803.65502, 3,   1.544,  9.853,  2.263, 4,  -0.079, -0.430, -0.816, 5,  -5.000,  3.100, 19.200 ,  0.010010000027250499
  
327803.66505, 3,   1.353,  9.883,  1.853, 4,  -0.302, -0.581, -0.851, 5,  -5.000,  3.100, 19.200 ,  0.010030000004917383
  
327803.67506, 3,   1.142,  9.971,  1.694, 4,  -0.392, -0.771, -0.871, 5,  -4.900,  3.100, 19.300 ,  0.010009999969042838
  
327803.68500, 3,   0.974, 10.020,  1.798, 4,  -0.419, -0.961, -0.877, 5,  -4.900,  3.100, 19.300 ,  0.00994000001810491
  
327803.69506, 3,   0.401, 10.185,  2.374, 4,  -0.406, -1.085, -0.875, 5,  -4.900,  3.100, 19.300 ,  0.01006000000052154
  
327803.70500, 3,  -0.038, 10.373,  2.467, 4,  -0.365, -1.118, -0.863, 5,  -4.900,  3.100, 19.300 ,  0.00994000001810491
  
327803.71501, 3,  -0.493, 10.611,  2.411, 4,  -0.315, -1.087, -0.850, 5,  -4.800,  3.100, 19.300 ,  0.010009999969042838
  
327803.72500, 3,  -0.803, 10.709,  2.231, 4,  -0.265, -1.044, -0.840, 5,  -4.800,  3.100, 19.300 ,  0.009989999991375953
  
327803.73501, 3,  -0.982, 10.697,  2.010, 4,  -0.211, -1.018, -0.831, 5,  -4.800,  3.100, 19.300 ,  0.010010000027250499
  
327803.74501, 3,  -1.165, 10.642,  1.824, 4,  -0.140, -0.998, -0.813, 5,  -4.800,  3.100, 19.300 ,  0.010000000009313226
  
327803.75501, 3,  -1.438, 10.618,  1.569, 4,  -0.071, -0.952, -0.798, 5,  -4.700,  3.000, 19.300 ,  0.010000000009313226
  
327803.76500, 3,  -1.787, 10.643,  1.273, 4,  -0.010, -0.870, -0.801, 5,  -4.700,  3.000, 19.300 ,  0.009989999991375953
  
327803.77502, 3,  -2.182, 10.739,  1.055, 4,   0.033, -0.797, -0.806, 5,  -4.700,  3.000, 19.400 ,  0.01001999998698011
  
327803.78500, 3,  -2.523, 10.764,  0.933, 4,   0.057, -0.756, -0.816, 5,  -4.700,  3.000, 19.400 ,  0.00997999997343868
  
327803.79506, 3,  -2.848, 10.682,  0.854, 4,   0.048, -0.715, -0.837, 5,  -4.600,  3.000, 19.500 ,  0.01006000000052154
  
327803.80504, 3,  -3.095, 10.545,  0.735, 4,   0.006, -0.671, -0.870, 5,  -4.600,  3.000, 19.500 ,  0.009980000031646341
  
327803.81501, 3,  -3.261, 10.270,  0.710, 4,  -0.073, -0.666, -0.914, 5,  -4.500,  2.900, 19.500 ,  0.009970000013709068
  
327803.82500, 3,  -3.529,  9.963,  0.873, 4,  -0.164, -0.757, -0.944, 5,  -4.500,  2.900, 19.500 ,  0.009989999991375953
  
327803.83505, 3,  -3.833,  9.647,  1.154, 4,  -0.240, -0.894, -0.944, 5,  -4.400,  2.900, 19.600 ,  0.010049999982584268
  
327803.84505, 3,  -4.209,  9.275,  1.337, 4,  -0.290, -1.021, -0.929, 5,  -4.400,  2.900, 19.600 ,  0.010000000009313226
  
327803.85502, 3,  -4.654,  8.831,  1.393, 4,  -0.307, -1.157, -0.907, 5,  -4.300,  2.900, 19.600 ,  0.009970000013709068
  
327803.86501, 3,  -4.961,  8.183,  1.532, 4,  -0.266, -1.382, -0.864, 5,  -4.300,  2.900, 19.600 ,  0.009989999991375953
  
327803.87501, 3,  -5.022,  7.530,  1.954, 4,  -0.132, -1.678, -0.764, 5,  -4.200,  2.900, 19.700 ,  0.010000000009313226
  
327803.88500, 3,  -4.860,  7.135,  2.534, 4,   0.101, -1.937, -0.569, 5,  -4.200,  2.900, 19.700 ,  0.009989999991375953
  
327803.89501, 3,  -4.553,  7.278,  3.282, 4,   0.397, -2.045, -0.302, 5,  -4.000,  2.800, 19.900 ,  0.010009999969042838
  
327803.90500, 3,  -4.216,  7.802,  4.293, 4,   0.675, -1.983, -0.042, 5,  -4.000,  2.800, 19.900 ,  0.009990000049583614
  
327803.91500, 3,  -4.027,  8.534,  5.382, 4,   0.830, -1.741,  0.109, 5,  -3.900,  2.800, 20.000 ,  0.009999999951105565
  
327803.92500, 3,  -3.912,  9.105,  6.068, 4,   0.796, -1.312,  0.097, 5,  -3.900,  2.800, 20.000 ,  0.010000000009313226
  
327803.93501, 3,  -3.785,  9.243,  5.895, 4,   0.566, -0.733, -0.062, 5,  -3.700,  2.800, 20.100 ,  0.010010000027250499
  
